"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.585704708E0,6.283932495E-1,-1.392359573E1,1.114731903E0,1.398227533E1
2.595647708E0,6.369255066E-1,-1.424647430E1,1.106948090E0,1.430360228E1
2.605591708E0,6.456074524E-1,-1.452115311E1,1.103056183E0,1.457729157E1
2.615534708E0,6.557862854E-1,-1.477397736E1,1.102307739E0,1.482954972E1
2.625477708E0,6.679110718E-1,-1.499836075E1,1.126707001E0,1.505544416E1
2.635421708E0,6.584806824E-1,-1.515882706E1,1.141825562E0,1.521602445E1
2.645364708E0,6.921606445E-1,-1.524025772E1,1.141975250E0,1.529864861E1
2.655307708E0,6.994953918E-1,-1.531315613E1,1.143621826E0,1.537172454E1
2.665250708E0,7.132667542E-1,-1.538380920E1,1.176253967E0,1.544519046E1
2.675194708E0,7.235952759E-1,-1.543290710E1,1.195713501E0,1.549606216E1
2.685137708E0,7.333250427E-1,-1.546374298E1,1.230890350E0,1.552997758E1
2.695080708E0,7.554789734E-1,-1.544233749E1,1.266665955E0,1.551260708E1
2.705024708E0,7.909552002E-1,-1.535911057E1,1.263672180E0,1.543129142E1
2.714967708E0,7.776329041E-1,-1.523172546E1,1.263073425E0,1.530377496E1
2.724910708E0,7.872129822E-1,-1.504027359E1,1.269510040E0,1.511427106E1
2.734853708E0,7.777825928E-1,-1.482831436E1,1.275347900E0,1.490336757E1
2.744797708E0,7.511380005E-1,-1.464614319E1,1.285227356E0,1.472160073E1
2.754740708E0,7.258406067E-1,-1.442280762E1,1.257834320E0,1.449573632E1
2.764683708E0,6.976991272E-1,-1.417567154E1,1.236129456E0,1.424655971E1
2.774626708E0,6.625222778E-1,-1.389156235E1,1.218316498E0,1.396061372E1
2.784570708E0,6.089337158E-1,-1.355670868E1,1.174457703E0,1.362110500E1
2.794513708E0,6.033952332E-1,-1.317590057E1,1.123413849E0,1.323746579E1
2.804456708E0,5.924679565E-1,-1.277638138E1,1.062789917E0,1.283419112E1
2.814400917E0,5.810916138E-1,-1.238225098E1,1.020278320E0,1.243779621E1
2.824343917E0,5.574407959E-1,-1.198243240E1,9.756710815E-1,1.203500563E1
2.834286917E0,5.327421570E-1,-1.159279266E1,9.345066833E-1,1.164259244E1
2.844229917E0,4.989125061E-1,-1.117231705E1,8.991801453E-1,1.121954129E1
2.854173917E0,4.728666687E-1,-1.075782898E1,8.505313110E-1,1.080175406E1
2.864116917E0,4.664300537E-1,-1.028166916E1,8.271798706E-1,1.032542998E1
2.874059917E0,4.561015320E-1,-9.799072723E0,7.774832153E-1,9.840443841E0
2.884003917E0,4.302053833E-1,-9.310189362E0,7.535330200E-1,9.350535527E0
2.893946917E0,4.385879517E-1,-8.879085846E0,7.283853149E-1,8.919701229E0
2.903889917E0,4.552033997E-1,-8.469537506E0,7.223977661E-1,8.512469338E0
2.913832917E0,4.528083801E-1,-8.048612823E0,6.926097107E-1,8.091038995E0
2.923776917E0,4.664300537E-1,-7.633526001E0,6.888674927E-1,7.678724805E0
2.933719917E0,4.357438660E-1,-7.203619995E0,6.692582703E-1,7.247752782E0
2.943662917E0,4.330494690E-1,-6.785090332E0,6.327342224E-1,6.828274691E0
2.953606917E0,4.143383789E-1,-6.394103394E0,5.990542603E-1,6.435456511E0
2.963549917E0,3.993695068E-1,-6.016438751E0,5.795947266E-1,6.057471527E0
2.973492917E0,3.809577942E-1,-5.716312866E0,5.755531311E-1,5.757831452E0
2.983435917E0,3.962260437E-1,-5.423671417E0,5.480104065E-1,5.465667583E0
2.993379917E0,3.805087280E-1,-5.177882538E0,5.325924683E-1,5.219090841E0
3.003322917E0,3.411405945E-1,-4.931794281E0,5.060975647E-1,4.969417117E0
3.013265917E0,3.442840576E-1,-4.693190460E0,4.734654236E-1,4.729559992E0
3.023209917E0,3.071612549E-1,-4.470753021E0,4.611909485E-1,4.504961454E0
3.033152917E0,3.179388428E-1,-4.301604767E0,4.501139832E-1,4.336760459E0
3.043095917E0,3.180885315E-1,-4.196972351E0,4.165837097E-1,4.229574354E0
3.053038917E0,2.968327332E-1,-4.120481415E0,4.038601685E-1,4.150852900E0
3.062982917E0,2.811154175E-1,-4.094435577E0,4.086502075E-1,4.124369475E0
3.072925917E0,2.766247559E-1,-4.112847290E0,3.755690002E-1,4.139213230E0
3.082868917E0,2.688409424E-1,-4.129462738E0,3.501219177E-1,4.152989684E0
3.092811917E0,2.713856506E-1,-4.137396240E0,3.689826965E-1,4.162672945E0
3.102755917E0,2.757266235E-1,-4.207749939E0,3.658392334E-1,4.232614212E0
3.112698917E0,2.676434326E-1,-4.329895935E0,3.920347595E-1,4.355837815E0
